"Έτος","Μήνας","Αφίξεις (Σύνολο καταλυμάτων)","Ημεδαποί (Καταλύματα ξενοδοχειακού τύπου)","Αλλοδαποί (Καταλύματα ξενοδοχειακού τύπου)","Ημεδαποί (Κάμπινγκ)","Αλλοδαποί (Κάμπινγκ)", "Color"
"2017","Ιαν-Σεπτ", "18.350.997", "4.867.072", "13.122.778", "132.209", "228.938", "#B1878B"
"2017", "Ιανουάριος" , "521.020", "356.144", "164.639", "62", , "#B1878B"
"2017", "Φεβρουάριος", "569.785", "388.671", "180.815", "69", "230", "#B1878B"
"2017", "Μάρτιος" , "759.642", "472.511", "286.704", "80", "347", "#B1878B"
"2017", "Απρίλιος" , "1.332.810" , "544.947", "782.536", "697", "4.630", "#B1878B"
"2017", "Μάιος", "2.270.291" , "479.815", "1.765.509" , "4.995", "19.972", "#B1878B"
"2017", "Ιούνιος", "2.964.459" , "570.571", "2.349.940", "12.603", "31.345", "#B1878B"
"2017", "Ιούλιος" , "3.513.094" , "716.439", "2.689.901" , "45.013", "61.741", "#B1878B"
"2017", "Αύγουστος" , "3.552.898" , "775.507", "2.640.188" , "61.520", "75.683", "#B1878B"
"2017", "Σεπτέμβριος" , "2.866.998" , "562.467", "2.262.546" , "7.170", "34.815", "#B1878B"
"2018", "Ιαν-Σεπτ" , "19.139.345" , "4.639.840" , "14.130.461" , "123.441", "245.603", "#F5B041"
"2018", "Ιανουάριος" , "555.553", "370.188", "185.047", "79", "239", "#F5B041"
"2018", "Φεβρουάριος" , "591.930", "384.164", "207.403","79","284", "#F5B041"
"2018", "Μάρτιος" , "856.216", "455.362", "400.123", "125", "606", "#F5B041"
"2018", "Απρίλιος" , "1.409.526" , "520.084", "883.730", "614", "5.098", "#F5B041"
"2018", "Μάιος" , "2.623.104" , "530.616", "2.058.966" , "6.718", "26.804", "#F5B041"
"2018", "Ιούνιος" , "3.095.871" , "524.011", "2.520.735" , "13.796", "37.329", "#F5B041"
"2018", "Ιούλιος" , "3.522.407" , "634.012", "2.783.541" , "39.796", "65.058", "#F5B041"
"2018", "Αύγουστος" , "3.556.084" , "706.197", "2.720.781" , "55.945", "73.161", "#F5B041"
"2018", "Σεπτέμβριος" , "2.928.654" , "515.206", "2.370.135" , "6.289", "37.024", "#F5B041"
